PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,hits
22670668,Nonactor,0,0.0,2,0.00236406619385,0,0.0,0,0.0,0.0
33672639,Nonactor,0,0,0,0,0,0,0,0,0
21110349,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
18528799,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
31914039,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
12497876,Nonactor,0,0.0,11,0.0012176223157,0,0.0,5,0.00163666121113,0.0
10973035,Nonactor,0,0.0,18,0.00104396241735,0,0.0,0,0.0,0
32583307,Nonactor,0,0,0,0,0,0.0,0,0,0.0
477661,Nonactor,0,0.0,0,0.0,0,0.0,4,0.000115797701416,0.0
10950312,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
5670880,Nonactor,0,0.0,27,0.00174474959612,0,0.0,1,0.00015873015873,0.0
2854390,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
14656510,Nonactor,0,0.0,46,0.00623306233062,0,0,0,0,0
22812810,Nonactor,0,0.0,0,0.0,0,0,0,0,0
24884384,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
4098583,Nonactor,0,0.0,190,0.0361491628615,0,0.0,109,0.0167254871874,0.0
24322305,Nonactor,0,0.0,48,0.000534301011833,0,0.0,23,0.000916334661355,0.0
40927,Nonactor,0,0.0,8,0.00240168117682,0,0.0,14,0.000497265042268,0.0
26201244,Nonactor,0,0,0,0,0,0.0,0,0,0.0
18785772,Nonactor,2,0.0588235294118,172,0.0571998669771,0,0.0,0,0.0,0
17106517,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
725250,Nonactor,0,0.0,7,0.00129079845104,0,0.0,0,0.0,0.0
24426410,Nonactor,0,0.0,31,0.00308549815865,0,0.0,0,0.0,0.0
33739348,Nonactor,0,0,0,0,0,0,0,0,0
28441763,Nonactor,0,0,0,0,0,0,0,0,0
18589993,Nonactor,3,0.0285714285714,576,0.0369254439387,0,0.0,187,0.0149947879079,0.0
1846657,Nonactor,0,0.0,31,0.0033890893189,0,0.0,0,0.0,0
29314108,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
9539527,Nonactor,0,0.0,1,7.78089013383e-05,0,0.0,10,0.000800897004645,0.0
26914211,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
588311,Nonactor,0,0.0,83,0.017342248224,0,0.0,0,0.0,0
24115395,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
384578,Nonactor,0,0.0,9,0.000926784059314,0,0.0,17,0.00342811050615,0.0
10760041,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
29218907,Nonactor,0,0,0,0,0,0,0,0,0
19765334,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
11928428,Nonactor,1,0.0833333333333,68,0.0311212814645,0,0.0,2,0.0392156862745,0.0
24009739,Nonactor,0,0.0,3,0.000219973603168,0,0.0,2,0.00456621004566,0.0
294707,Nonactor,0,0.0,94,0.00209484756641,0,0.0,80,0.00122146728758,0.0
9401113,Nonactor,0,0.0,15,0.00231267345051,0,0.0,0,0.0,0.0
23987825,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
4906396,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1336472,Nonactor,0,0.0,0,0.0,0,0.0,0,0,0
12910034,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
3676138,Nonactor,0,0.0,265,0.00835013864381,0,0.0,703,0.0410654827969,0.0
17836210,Nonactor,0,0.0,34,0.00354092897313,0,0.0,13,0.00843060959792,0.0
7962863,Nonactor,0,0.0,0,0.0,0,0,0,0,0
21058416,Nonactor,0,0.0,2,0.000910332271279,0,0.0,0,0.0,0.0
3712646,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
290037,Nonactor,0,0.0,0,0.0,0,0.0,51,0.000631798022844,0.0
